naslov,ESRB_deskriptor
God of War III,Strong Language
God of War III,Strong Sexual Content
God of War III,Violence
SSX Tricky,Comic Mischief
SSX Tricky,Language
SSX Tricky,Mild Violence
SSX Tricky,Violence
NHL 2002,Comic Mischief
NHL 2002,Violence
Guitar Hero II,Lyrics
Prince of Persia: The Sands of Time,Blood
Prince of Persia: The Sands of Time,Suggestive Themes
Prince of Persia: The Sands of Time,Violence
Uncharted 3: Drake's Deception,Blood
Uncharted 3: Drake's Deception,Language
Uncharted 3: Drake's Deception,Violence
Rock Band,Lyrics
Rock Band,Suggestive Themes
Warcraft III: Reign of Chaos,Blood
Warcraft III: Reign of Chaos,Violence
SSX 3,Comic Mischief
SSX 3,Mild Violence
SSX 3,Violence
Sid Meier's Gettysburg!,Violence
Rock Band 2,Lyrics
Rock Band 2,Suggestive Themes
Super Street Fighter IV,Alcohol Reference
Super Street Fighter IV,Language
Super Street Fighter IV,Suggestive Themes
Super Street Fighter IV,Violence
Advance Wars,Mild Violence
Advance Wars,Violence
Vagrant Story,Violence
System Shock 2,Animated Blood
System Shock 2,Blood
System Shock 2,Blood and Gore
System Shock 2,Violence
Tom Clancy's Splinter Cell: Chaos Theory,Blood
Tom Clancy's Splinter Cell: Chaos Theory,Language
Tom Clancy's Splinter Cell: Chaos Theory,Strong Language
Tom Clancy's Splinter Cell: Chaos Theory,Violence
Final Fantasy XII,Alcohol Reference
Final Fantasy XII,Fantasy Violence
Final Fantasy XII,Language
Final Fantasy XII,Nudity
Final Fantasy XII,Partial Nudity
Final Fantasy XII,Suggestive Themes
Final Fantasy XII,Violence
Super Smash Bros. Melee,Comic Mischief
Super Smash Bros. Melee,Mild Violence
Super Smash Bros. Melee,Violence
Rome: Total War,Violence
Forza Motorsport 3,Lyrics
Batman: Arkham Asylum,Alcohol Reference
Batman: Arkham Asylum,Blood
Batman: Arkham Asylum,Language
Batman: Arkham Asylum,Suggestive Themes
Batman: Arkham Asylum,Tobacco Reference
Batman: Arkham Asylum,Violence
Super Mario Sunshine,Comic Mischief
SSX 3,Comic Mischief
SSX 3,Mild Violence
SSX 3,Violence
SoulCalibur II,Suggestive Themes
SoulCalibur II,Violence
Thief: The Dark Project,Animated Blood
Thief: The Dark Project,Blood
Thief: The Dark Project,Violence
Fire Emblem: Awakening,Alcohol Reference
Fire Emblem: Awakening,Fantasy Violence
Fire Emblem: Awakening,Language
Fire Emblem: Awakening,Suggestive Themes
Fire Emblem: Awakening,Violence
Age of Empires II: The Age of Kings,Blood
Age of Empires II: The Age of Kings,Violence
Final Fantasy X,Blood
Final Fantasy X,Violence
Prince of Persia: The Sands of Time,Blood
Prince of Persia: The Sands of Time,Suggestive Themes
Prince of Persia: The Sands of Time,Violence
The Walking Dead: A Telltale Games Series,Blood
