naslov,datum,metascore,stevilo_glasov_metascore,ocena_uporabnikov,stevilo_glasov_uporabnikov,oznaka,developer,stevilo_online_igralcev,stevilo_igralcev 
Tom Clancy's The Division,2016-03-08,80,33,6.9,699,M,Massive Entertainment,,
Proteus,2013-01-30,80,24,5.6,187,,Ed Key and David Kanaga,No Online Multiplayer,
Hot Shots Tennis: Get a Grip,2010-06-28,80,27,8.2,19,E,Clap Hanz,,1-4 Players
Heave Ho,2019-08-29,80,14,8.3,15,E10+,Le Cartel Studio,No Online Multiplayer,
Armello,2018-09-27,80,15,7.9,15,E10+,League of Geeks,,
Life is Strange: Before the Storm - Episode 1: Awake,2017-08-31,80,11,7.6,108,M,Deck Nine Games,,
Candle,2016-11-11,80,15,7.7,76,RP,Teku Studios ,No Online Multiplayer,
Hitman: Contracts,2004-04-20,80,39,8.2,58,M,Io Interactive,,1 Player
Medal of Honor Infiltrator,2003-11-17,80,19,7.2,12,T,Netherock Ltd.,,1-2 Players
Rock 'N Roll Racing,2003-06-23,80,12,8.7,10,E,Mass Media,,1-2 Players
Pro Race Driver,2003-04-16,80,17,7.2,5,T,Codemasters,,1-4 Players
James Bond 007: NightFire,2002-11-18,80,17,8.5,60,T,Eurocom Entertainment Software,,1-4 Players
Robin Hood: The Legend of Sherwood,2002-11-14,80,15,8.5,117,T,Spellbound,No Online Multiplayer,1 Player
Kelly Slater's Pro Surfer,2002-09-16,80,15,8.2,6,E,Treyarch,,1-2 Players
World Rally Championship,2002-03-21,80,21,8.3,11,E,Evolution Studios,,1-2 Players
Baseball Advance,2002-03-20,80,16,7.8,5,E,Smilebit,,1 Player
Max Payne,2001-12-06,80,21,8.4,121,M,Rockstar Toronto,,1 Player
Oddworld: Munch's Oddysee,2001-11-06,80,30,8.7,39,T,Oddworld Inhabitants,,1 Player
RollerCoaster Tycoon: Loopy Landscapes,2000-09-30,80,12,8.7,207,E,Chris Sawyer,,1 Player
Resident Evil: Revelations,2013-05-21,80,19,7.8,194,M,Capcom,,1 Player
AVICII Invector,2019-12-10,80,15,6.8,20,T,Wired Productions,No Online Multiplayer,
Call of Duty: WWII,2017-11-03,80,21,4.3,417,M,Sledgehammer Games,Up to 18 Players,
SMITE,2015-08-19,80,21,7.3,116,T,Hi-Rez Studios,,
Thomas Was Alone,2013-04-23,80,21,6.9,91,E,Mike Bithell,,1 Player
World of Tanks,2016-01-19,80,18,5.2,130,T,Wargaming.net,,
Pushmo World,2014-06-19,80,37,8.0,60,E,Intelligent Systems,No Online Multiplayer,
CAPSIZED,2011-04-29,80,19,7.1,105,,Alientrap,,1 Player
Skate 3,2010-05-11,80,46,8.0,121,T,EA Black Box,Up to 6 Players,
Enslaved: Odyssey to the West,2010-10-05,80,53,7.6,356,T,Ninja Theory,No Online Multiplayer,
FlatOut: Ultimate Carnage,2007-10-02,80,44,8.6,72,T,Bugbear,,1 Player
Fuser,2020-11-10,80,8,,,T,Harmonix Music Systems,,
Total War: Three Kingdoms - A World Betrayed,2020-03-19,80,10,5.9,8,,Creative Assembly,,
Autonauts,2019-10-17,80,8,8.0,8,,Denki,,
Children of Morta,2019-10-15,80,12,8.2,79,T,"Dead Mage Studio, Dead Mage", Online Multiplayer,
NBA 2K20,2019-09-06,80,18,1.4,310,E,Visual Concepts,Up to 10 Players,
Judgment,2019-06-21,80,83,8.4,335,M,Ryu ga Gotoku Studios,No Online Multiplayer,
Minit,2018-08-09,80,7,7.8,23,E,"JW, Kitty, Jukio, and Dom",No Online Multiplayer,
Layers of Fear: Legacy,2018-02-21,80,25,7.8,35,M,Bloober Team,No Online Multiplayer,
Middle-earth: Shadow of War,2017-10-10,80,69,4.4,1371,M,Monolith Productions,2 Players No Online Multiplayer,
Zero Escape: Zero Time Dilemma,2017-08-18,80,8,6.7,30,M,Aksys Games,No Online Multiplayer,
Tales of Berseria,2017-01-26,80,18,6.5,333,T,Bandai Namco Games,No Online Multiplayer,
World of Van Helsing: Deathtrap,2016-12-30,80,7,6.9,16,T,NeocoreGames,,
BADLAND: Game of the Year Edition,2015-07-30,80,7,7.5,16,E,Frogmind,,
Ziggurat,2015-04-21,80,8,7.0,25,T,Milkstone Studios,,
Hitman: Sniper Challenge,2012-05-15,80,7,7.7,20,M,Io Interactive,,
Sonic CD,2011-12-20,80,12,8.2,52,E,Sega,,
Microsoft Flight Simulator X,2006-10-17,80,28,7.2,132,E,Microsoft Game Studios,32 Players Online,1 Player
Metal Gear Acid 2,2006-03-21,80,51,8.1,36,M,Kojima Productions,2 Players,1-2 Players
Myst V: End of Ages,2005-09-19,80,26,7.6,55,E,Cyan Worlds,,1 Player
Star Ocean: Till the End of Time,2004-08-31,80,55,8.6,137,T,Tri-Ace,,1-2 Players
Railroad Tycoon 3,2003-10-23,80,19,7.7,62,E,PopTop Software,,1-4 Players
Otogi: Myth of Demons,2003-08-27,80,40,8.6,31,T,From Software,,1 Player
Sega Soccer Slam,2002-08-22,80,15,8.3,9,E,Black Box,,1-4 Players
World of Outlaws: Sprint Cars 2002,2002-03-26,80,10,8.3,10,E,Ratbag,,1-2 Players
Wave Race: Blue Storm,2001-11-17,80,21,7.9,32,E,Nintendo,,
Phantasy Star Online Ver. 2,2001-09-24,80,10,8.5,25,T,Sonic Team,,
Hostile Waters: Antaeus Rising,2001-06-13,80,14,7.6,36,M,Rage Software,No Online Multiplayer,1 Player
Crazy Taxi,2001-05-14,80,15,7.8,57,T,Acclaim Studios Cheltenham,,1 Player
Forza Motorsport 5,2013-11-22,79,76,6.0,1138,E,Turn 10,,
Dustforce,2012-01-17,79,35,7.5,110,,Hitbox ,,
Hitman: Absolution,2012-11-20,79,51,7.2,497,M,Io Interactive,No Online Multiplayer,
WWE SmackDown vs. Raw 2009,2008-11-09,79,47,7.0,49,T,Yuke's,Up to 4 Players,
Skylanders Imaginators,2016-10-16,79,49,5.8,32,E10+,Toys for Bob,,
Empire Earth II,2005-04-26,79,39,7.1,109,T,Mad Doc Software,,1-10 Players
LocoRoco 2 Remastered,2017-12-09,79,20,7.3,20,E,SCE Japan Studio,No Online Multiplayer,
Hitman: Absolution,2012-11-19,79,26,7.1,1581,M,"Io Interactive, Nixxes Software",No Online Multiplayer,
Wolfenstein: The New Order,2014-05-20,79,73,8.1,1521,M,MachineGames,,
Fallout 3: Point Lookout,2009-06-23,79,23,7.6,126,M,Bethesda Game Studios,,1 Player
Fractured Space,2016-09-22,79,10,7.6,28,,Edge Case Games,,
Resident Evil 5: Lost in Nightmares,2010-02-17,79,27,8.1,38,M,Capcom,,
Test Drive Unlimited,2007-03-20,79,18,8.1,161,T,Eden Studios,,1 Player
Yakuza 3,2010-03-09,79,77,8.3,218,M,Ryu ga Gotoku Studios,,1 Player
Telling Lies,2020-04-28,79,8,6.0,15,M,Sam Barlow,No Online Multiplayer,
Wide Ocean Big Jacket,2020-02-04,79,8,7.4,8,T,Turnfollow,No Online Multiplayer,
Chess Ultra,2017-11-02,79,8,7.1,20,E,Ripstone,2 Players,
Kameo: Elements of Power,2005-11-07,79,76,8.0,131,T,Rare Ltd.,,1-2 Players
FIFA Soccer,2012-02-15,79,45,7.2,84,E,Electronic Arts,,
NBA Jam,2010-10-05,79,43,8.5,21,E,EA Canada,,
Atelier Dusk Trilogy Deluxe Pack,2020-01-14,79,15,6.2,17,T,Gust,No Online Multiplayer,
The Magic Circle,2015-07-09,79,18,7.1,31,,"Questionary, Question",,
Firewall Zero Hour,2018-08-28,79,38,8.2,288,T,"Sony Interactive Entertainment, First Contact Entertainment",,
The King of Fighters XIII,2011-11-22,79,31,8.2,58,T,SNK Playmore,2 Players,
Star Wars Jedi: Fallen Order,2019-11-15,79,70,7.7,2950,T,Respawn Entertainment,No Online Multiplayer,
Rock Band Unplugged,2009-06-09,79,50,8.6,37,T,"Harmonix Music Systems, Backbone Entertainment",,
The Path,2009-03-18,79,20,6.7,121,,Tale of Tales,,1 Player
Indivisible,2020-04-28,79,15,7.3,28,T,Lab Zero Games,No Online Multiplayer,
The Pinball of the Dead,2002-06-16,79,20,7.2,5,T,Sega,,1 Player
Metroid: Other M,2010-08-31,79,71,6.7,587,T,Team Ninja,,1 Player
Shantae and the Seven Sirens,2020-05-28,79,20,6.4,69,T,WayForward,No Online Multiplayer,
Shin Megami Tensei: Devil Survivor 2,2012-02-28,79,21,3.6,189,T,Atlus,No Online Multiplayer,
Valfaris,2019-10-10,79,19,8.1,36,M,Steel Mantis, No Online Multiplayer,
Dungeon of the Endless,2014-10-27,79,29,7.8,199,,Amplitude Studios,,
Sesame Street: Once Upon a Monster,2011-10-11,79,26,6.9,23,E,Double Fine Productions,No Online Multiplayer,1-2 Players
Revenge of the Titans,2010-05-24,79,11,7.6,85,,Puppy Games,,1 Player
Bookworm Adventures: Volume 2,2009-07-30,79,15,7.0,14,E10+,PopCap,,
R-Type Final,2004-02-03,79,50,8.6,32,E,Irem,,1 Player
Hunter: The Reckoning,2002-05-21,79,28,8.4,20,M,High Voltage Software,,1-4 Players
F1 2001,2001-10-14,79,8,7.1,12,E,EA Sports,,1-8 Players
Tokyo Xtreme Racer 2,2000-09-01,79,16,9.0,26,E,Genki,,
Strong Bad's Cool Game for Attractive People Episode 3: Baddest of the Bands,2008-10-27,79,11,7.4,5,E10+,Telltale Games,,
Street Fighter X Tekken,2012-10-23,79,25,7.5,73,T,Capcom,Up to 8 Players,
Gears of War 2: All Fronts Collection,2009-07-28,79,12,7.8,20,M,Epic Games,10 Players Online,1-2 Players
Brothers in Arms: Hell's Highway,2008-10-07,79,22,7.7,167,M,Gearbox Software,,1 Player
Banjo-Kazooie: Nuts & Bolts,2008-11-11,79,71,6.7,352,E10+,Rare Ltd.,8 Players Online Up to 8 Players,1-2 Players
Tangledeep,2019-01-31,79,7,7.7,20,E10+,Impact Gameworks,No Online Multiplayer,
Slayaway Camp: Butcher's Cut,2018-03-22,79,7,7.8,11,M,Blue Wizard Digital,No Online Multiplayer,
Detention,2018-03-01,79,12,8.4,32,M,Red Candle Games,No Online Multiplayer,
Space Invaders Extreme,2018-02-12,79,7,,,,Taito Corporation,,
The Metronomicon: Slay the Dance Floor,2017-08-29,79,7,7.6,9,T,Puuba,,
SOMA,2015-09-22,79,27,8.1,481,M,Frictional Games,,
Star Wars: Empire at War,2006-02-15,79,45,8.3,288,T,Petroglyph,8 Players Online,1-8 Players
The Bigs,2007-06-25,79,23,8.4,22,E,Blue Castle Games,,1-4 Players
EA Sports MMA,2010-10-19,79,63,8.0,52,T,EA Tiburon,Up to 10 Players,
Knights and Bikes,2019-08-27,79,24,7.7,48,E10+,Foam Sword, 2 Players,
Hotshot Racing,2020-09-10,79,9,7.3,9,,Lucky Mountain Games,,
A Way Out,2018-03-23,79,26,7.6,164,M,Hazelight,2 Players,
A Hat in Time,2017-12-05,79,17,8.1,92,T,Gears for Breakfast,No Online Multiplayer,
Scribblenauts,2009-09-15,79,72,7.6,121,E10+,5TH Cell,,
Europa Universalis: Rome - Vae Victis,2008-11-19,79,7,8.5,22,E10+,Paradox Development Studio,32 Players Online,1 Player
NHL 07,2006-09-12,79,49,5.3,168,E10+,EA Sports,,1-4 Players
The Walking Dead: Episode 1 - A New Day,2012-04-27,79,26,8.0,170,M,Telltale Games,,1 Player
GoNNER,2017-06-29,79,14,7.5,50,E10+,Art in Heart,No Online Multiplayer,
Naruto Shippuden: Ultimate Ninja Storm 4 - Road to Boruto,2020-04-24,79,19,7.9,29,T,CyberConnect2,Up to 8 Players,
Life is Strange: Before the Storm - Episode 2: Brave New World,2017-10-19,79,32,7.9,127,M,Deck Nine Games,,
Yoshi's Crafted World,2019-03-28,79,92,8.0,311,E,Good-Feel,No Online Multiplayer,
Sonic Colors,2010-11-16,79,26,7.9,85,E,Dimps Corporation,2 Players,
Silent Hunter: Wolves of the Pacific,2007-03-20,79,22,7.2,45,T,Ubisoft Romania,8 Players Online,1 Player
Dead or Alive Dimensions,2011-05-24,79,62,8.1,131,T,Team Ninja,2 Players 2 Players Online,1 Player
For the King,2018-04-19,79,11,7.6,53,T,IronOak Games,Online Multiplayer,
Rock Band 4,2015-10-06,79,27,6.5,58,T,Harmonix Music Systems,Up to 4 Players,
Dishonored: The Knife of Dunwall,2013-04-16,79,19,7.6,55,M,Arkane Studios,,
Need for Speed: Most Wanted - A Criterion Game,2012-10-30,79,21,7.7,220,E10+,Criterion Games,,
Battlefield 3: Armored Kill,2012-09-04,79,7,4.3,78,M,EA DICE,,
Lost Planet: Extreme Condition,2007-01-12,79,76,7.1,207,T,Capcom,,1 Player
1701 A.D.,2006-11-06,79,30,7.8,45,E10+,Related Designs,,1-2 Players
Stasis,2015-08-31,79,31,7.5,122,,THE BROTHERHOOD,,
Otogi 2: Immortal Warriors,2004-10-21,79,43,8.8,16,T,From Software,,1 Player
Chime,2010-02-03,79,32,7.9,23,E,Zoe Mode,,
Brothers: A Tale of Two Sons,2019-05-28,79,18,8.4,21,T,Turn Me Up Games,,
Pro Evolution Soccer 2009,2008-11-12,79,12,7.3,49,E,Konami,2 Players Online,1-4 Players
Return to Mysterious Island,2004-11-02,79,19,7.8,28,T,Kheops Studio,,1 Player
Rubik's Puzzle Galaxy: RUSH,2009-12-14,79,9,,,E,Two Tribes,,1-2 Players
Euro Truck Simulator 2,2013-01-16,79,18,8.7,1318,,SCS Software,No Online Multiplayer,
Smuggler's Run,2000-10-25,79,21,6.7,22,T,Rockstar San Diego,,1-2 Players
Puzzle Dimension,2011-06-28,79,23,,,E,Doctor Entertainment,,
Eternal Sonata,2007-09-17,79,56,8.0,111,T,Tri-Crescendo,,1 Player
The Ninja Saviors: Return of the Warriors,2019-10-15,79,27,7.6,17,T,NATSUME ATARI Inc.,No Online Multiplayer,
Mega Man Legacy Collection + Mega Man Legacy Collection 2,2018-05-22,79,9,8.6,58,E10+,Digital Eclipse,No Online Multiplayer,
NCAA Football 07,2006-07-18,79,43,7.0,22,E,EA Sports,2 Players Online,1-2 Players
Red Faction II,2003-03-31,79,12,7.8,6,M,Cranky Pants Games,,1-4 Players
Baldur's Gate: Dark Alliance,2002-11-18,79,10,7.6,21,T,High Voltage Software,,1-2 Players
NHL 2003,2002-09-30,79,13,,,E,EA Sports,,1-4 Players
NFL Fever 2002,2001-11-14,79,24,8.3,10,E,Microsoft Game Studios,,1-4 Players
Kohan: Ahriman's Gift,2001-11-05,79,10,7.8,10,E,TimeGate Studios,Up to 8 Players,1-8 Players
Pac-Man Collection,2001-07-12,79,13,7.4,7,E,Mass Media,,
Emperor: Battle for Dune,2001-06-12,79,19,8.0,74,T,Westwood Studios,,1-8 Players
Rowan's Battle of Britain,2001-01-31,79,14,,,T,Rowan Software Ltd.,,1-8 Players
echochrome,2008-05-01,79,28,7.9,15,E,"SCE/WWS, SCE Japan Studio",,1 Player
Crown Trick,2020-10-16,79,7,,,,NExT Studios,,
Budget Cuts,2020-07-10,79,7,,,T,Neat Corporation,,
EarthNight,2020-01-23,79,7,6.8,26,E10+,cleaversoft,No Online Multiplayer,
Stories Untold,2020-01-16,79,11,8.5,8,M,No Code,No Online Multiplayer,
Gravity Ghost: Deluxe Edition,2019-08-06,79,7,2.7,9,E10+,Ivy Games LLC,No Online Multiplayer,
Splasher,2017-02-07,79,7,6.8,18,,Splashteam,,
Steredenn,2016-04-01,79,7,6.2,10,E10+,Pixelnest Studio,,
The Evil Within,2014-10-14,79,24,7.4,520,M,Tango Gameworks,,
Cart Life,2010-07-29,79,8,5.8,21,,Richard Hofmeier,,
Mega Man 10,2010-03-31,79,25,8.8,66,E,Inti Creates,,
Sword of the Stars: Born of Blood,2007-06-05,79,9,7.7,15,E10+,Kerberos Productions,,1 Player
Gun,2005-11-08,79,55,7.5,31,M,Neversoft Entertainment,,1 Player
Sonic's Ultimate Genesis Collection,2009-02-10,79,45,7.3,57,E10+,Backbone Entertainment,,
SoulCalibur,2008-07-02,79,19,8.3,14,T,Namco Bandai Games,,1-2 Players
Counter-Strike: Global Offensive,2012-08-22,79,15,6.8,167,M,"Valve Software, Hidden Path Entertainment",,1 Player
X-Men Legends,2004-09-21,79,48,8.3,78,T,Raven Software,,1-4 Players
Worms Reloaded,2010-08-26,79,28,6.9,195,E10+,Team17,,
Warhammer: End Times - Vermintide,2015-10-23,79,39,7.7,305,M,"Fatshark AB, Fatshark",,
South Park: The Fractured But Whole,2017-10-17,79,74,7.7,492,M,Ubisoft San Francisco,No Online Multiplayer,
LEGO Batman 2: DC Super Heroes,2012-06-19,79,59,7.2,130,E10+,TT Games,,
Monday Night Combat,2010-08-11,79,47,8.1,74,T,Uber Entertainment,,
Final Fantasy I & II: Dawn of Souls,2004-11-29,79,40,8.0,64,E,Tose Software,,1 Player
MX vs. ATV Unleashed,2005-03-16,79,30,8.5,20,E,Rainbow Studios,,1-2 Players
Tropico 3,2009-10-20,79,48,8.1,200,T,"Haemimont, Haemimont Games",,1 Player
Kirby's Extra Epic Yarn,2019-03-08,79,46,6.7,41,E,Good-Feel,No Online Multiplayer,
Wilson's Heart,2017-04-21,79,10,7.9,14,,Twisted Pixel Games,,
Shantae and the Pirate's Curse,2016-03-16,79,8,8.1,30,T,WayForward,No Online Multiplayer,
Else Heart.Break(),2015-09-24,79,10,7.2,16,,Erik Svedang,,
NHL 2K10,2009-09-15,79,8,6.8,16,E10+,Take-Two Interactive,,
GrimGrimoire,2007-06-26,79,39,9.8,2314,E10+,Vanilla Ware,,1 Player
Trauma Center: Under the Knife 2,2008-07-02,79,29,8.4,13,T,Vanguard,,1 Player
Little Nightmares: Complete Edition,2018-05-18,79,22,8.3,105,T,Tarsier Studios,No Online Multiplayer,
Cities: Skylines - After Dark,2015-09-24,79,15,7.7,82,,Colossal Order,,
Runaway: A Twist of Fate,2011-04-21,79,15,7.9,56,T,Pendulo Studios,,1 Player
Monster Hunter 3 Ultimate,2013-03-19,79,25,7.9,253,T,Capcom,No Online Multiplayer,
The Touryst,2019-11-21,79,24,8.1,78,E,Shin'en,No Online Multiplayer,
Hatsune Miku: Project Diva MegaMix,2020-05-15,79,29,8.1,57,T,Sega AM2,No Online Multiplayer,
La Pucelle: Tactics,2004-05-04,79,47,8.7,21,T,Nippon Ichi Software,,1 Player
Quarrel,2012-01-25,79,36,7.9,14,E10+,Denki,,1-4 Players
Tales of Monkey Island Chapter 1: Launch of the Screaming Narwhal,2009-07-07,79,54,7.8,79,E10+,Telltale Games,,
Arena of Valor,2018-09-25,79,8,7.1,49,T,"Tencent, Tencent Games",Up to 10 Players,
Flipping Death,2018-08-07,79,7,6.3,4,T,Zoink!,No Online Multiplayer,
Jotun,2015-09-29,79,28,6.6,87,T,Thunder Lotus Games,No Online Multiplayer,
Bloodline Champions,2011-01-13,79,13,7.7,95,,Stunlock Studios,,
Transformers: Fall of Cybertron,2012-08-21,79,52,8.5,180,T,High Moon Studios,,
Mortal Kombat: Deadly Alliance,2002-11-16,79,31,8.5,111,M,Midway,,1-2 Players
Pokken Tournament DX,2017-09-22,79,62,7.6,258,E10+,Bandai Namco Games,2 Players,
Subsurface Circular,2018-03-01,79,22,7.9,30,E10+,Mike Bithell,No Online Multiplayer,
Wipeout 2048,2012-02-15,79,63,8.2,208,E10+,Studio Liverpool,,
Project Warlock,2020-06-12,79,15,5.8,17,,Crunching Koalas,,
Pirates Outlaws,2020-04-13,79,9,7.2,5,,Fabled Game,,
Crystal Crisis,2019-05-28,79,14,7.5,12,E10+,Nicalis,No Online Multiplayer,
The Council - Episode 1: The Mad Ones,2018-03-13,79,10,7.5,19,M,Big Bad Wolf,No Online Multiplayer,
Skylanders Swap Force,2013-11-15,79,7,5.2,53,E10+,Vicarious Visions,,
The Legend of Heroes: Trails in the Sky,2011-03-28,79,22,8.3,111,T,Falcom,,
Legends of War: Patton's Campaign,2011-01-03,79,8,8.4,16,T,Enigma Software Productions,,1 Player
NHL Hitz Pro,2003-09-25,79,23,8.4,14,E,Next Level Games,,1-8 Players
Chessmaster,2003-05-28,79,9,7.5,14,E,Ubisoft Romania,,1-2 Players
The Sims: Superstar,2003-05-12,79,20,7.5,29,T,Maxis,,1 Player
Bust-A-Move 4,2000-05-31,79,14,8.6,5,E,Taito Corporation,,1-2 Players
Minit,2018-04-03,79,21,6.6,56,E,Devolver Digital,No Online Multiplayer,
Cuboid,2009-01-08,79,13,7.6,18,E,Creat Studios,,1 Player
NBA Live 2005,2004-10-26,79,9,8.5,25,E,EA Canada,2 Players Online,1-4 Players
Orcs Must Die!,2011-10-05,79,37,8.1,55,T,Robot Entertainment,,
"You, Me, and the Cubes",2009-09-21,79,16,7.0,8,E,fyto,,1-2 Players
SSX On Tour,2005-10-11,79,23,8.0,47,E,EA Montreal,No Online Multiplayer,1-4 Players
Oxenfree,2016-05-31,79,10,7.8,89,T,Night School Studio,,
Dark Souls II: Scholar of the First Sin,2015-04-01,79,8,7.5,491,T,From Software,,
MLB 10: The Show,2010-03-01,79,11,6.8,9,E,SCEA,,
Street Fighter Alpha Anthology,2006-06-13,79,47,8.3,17,T,Capcom,,1-2 Players
Prey,2017-05-05,79,68,7.8,997,M,Arkane Studios,,
NBA Live 06,2005-09-26,79,30,6.4,15,E,EA Canada,8 Players Online,1-4 Players
Runbow,2018-07-03,79,11,7.8,16,E,13AM Games,Up to 9 Players,
Valiant Hearts: The Great War,2014-06-25,79,28,8.6,645,T,Ubisoft Montpellier,No Online Multiplayer,
Payday 2,2013-08-13,79,51,3.8,3757,M,Overkill Software,Online Multiplayer,
Virtua Tennis 3,2007-03-26,79,17,7.8,15,E,Sumo Digital,8 Players Online Up to 4 Players,1-4 Players
Spider-Man: The Movie,2002-04-15,79,29,7.4,12,E,Treyarch,,1 Player
Dead Rising 2: Case Zero,2010-08-31,79,53,7.7,77,M,Blue Castle Games,,
Until Dawn,2015-08-25,79,103,8.3,3192,M,Supermassive Games,,
Castlevania: Lament of Innocence,2003-10-21,79,45,8.5,97,M,KCET,,1 Player
Midnight Club: LA Remix,2008-10-20,79,26,8.6,50,T,Rockstar London,,1-4 Players
Dungeons of Dredmor,2011-07-13,79,18,7.6,215,,Gaslamp Games,,
Tekken 6,2009-10-27,79,63,7.5,265,T,Namco Bandai Games,,1-2 Players
Geometry Wars 3: Dimensions,2014-11-25,79,9,6.2,37,E,Lucid Games,,
EA Sports Active 2,2010-11-16,79,8,8.1,22,E,EA Canada,,
Assassin's Creed: Director's Cut Edition,2008-04-08,79,38,7.5,1206,M,Ubisoft Montreal,,1 Player
NASCAR 06: Total Team Control,2005-08-30,79,25,5.1,8,E,EA Sports,,1-2 Players
Puzzle Dimension,2010-06-21,79,9,7.4,36,E,Doctor Entertainment,,
LittleBigPlanet 3,2014-11-18,79,78,7.1,673,E,Sumo Digital,,
Quantum Conundrum,2012-07-10,79,14,7.2,49,E,Airtight Games,,
DeathSpank,2010-07-14,79,59,8.2,100,T,Hothead Games,,
Tom Clancy's Ghost Recon: Future Soldier,2012-05-22,79,75,7.3,341,M,Ubisoft Paris,,
Ys Seven,2010-08-16,79,27,8.5,75,T,Falcom,,
Death Road to Canada,2018-05-08,79,14,7.8,33,T,Rocketcat Games,No Online Multiplayer,
Winning Eleven: Pro Evolution Soccer 2007,2007-02-06,79,22,6.5,34,E,KCET,,1-4 Players
The Unfinished Swan,2012-10-23,79,66,8.1,117,E10+,Giant Sparrow,,1 Player
Dissidia: Final Fantasy,2009-08-25,79,61,8.2,289,T,Square Enix,,1-2 Players
"Pokemon: Let's Go, Pikachu!",2018-11-16,79,84,6.1,1619,E,Game Freak,Online Multiplayer,
The New York Times Crosswords,2007-05-29,79,15,6.7,6,T,BudCat,4 Players Online,1 Player
The Lord of the Rings: The Battle for Middle-Earth II,2006-07-05,79,50,8.1,89,T,EA LA,,1 Player
Prototype,2009-06-09,79,53,7.6,352,M,Radical Entertainment,No Online Multiplayer,
Stick it to the Man!,2013-11-19,79,17,7.6,63,T,Zoink!,,
The Walking Dead: Saints & Sinners,2020-05-05,79,15,8.0,62,M,Skydance Interactive,,
Split/Second,2010-05-18,79,18,8.0,149,E10+,Black Rock Studio,No Online Multiplayer,
Dead Rising 2,2010-09-28,79,76,7.1,243,M,Blue Castle Games,Up to 4 Players,
La-Mulana 2,2018-07-30,79,10,7.6,16,,Nigoro,,
Archangel: Hellfire,2018-07-17,79,10,8.4,17,,Skydance Interactive,,
MTV Music Generator 3: This Is the Remix,2004-06-22,79,26,5.4,10,T,Mix Max,,1 Player
ESPN Major League Baseball,2004-05-04,79,16,8.7,9,E,Blue Shift,,1-4 Players
Tak and the Power of Juju,2003-10-15,79,28,8.2,22,E,Avalanche Software,,1 Player
Final Fantasy Origins,2003-04-08,79,21,8.5,88,T,TOSE,,1 Player
Dynasty Tactics,2002-09-17,79,14,8.1,31,T,Koei,,1-2 Players
MLB Slugfest 20-03,2002-08-26,79,9,6.2,5,E,Gratuitous Games,,1-2 Players
Giants: Citizen Kabuto,2001-12-20,79,15,7.0,7,T,Digital Mayhem,,1 Player
Parasite Eve II,2000-09-12,79,14,8.8,137,M,SquareSoft,,
For Honor,2017-02-14,79,26,5.9,290,M,Ubisoft Montreal,Up to 8 Players,
A Hat in Time,2017-10-05,79,39,8.6,423,E10+,Gears for Breakfast,No Online Multiplayer,
Ace Combat 7: Skies Unknown,2019-01-18,79,17,8.0,105,T,Bandai Namco Games,Up to 8 Players,
Sang-Froid: Tales of Werewolves,2013-04-05,79,13,7.7,112,,Artifice Studio,,
The Incredible Adventures of Van Helsing: Final Cut,2015-11-06,79,10,7.1,59,T,NeocoreGames,,
Def Jam: Fight for NY: The Takeover,2006-08-29,79,25,8.3,23,M,Aki Corp.,No Online Multiplayer,1-2 Players
Hexic HD,2005-11-22,79,11,7.0,52,E,Carbonated Games,,1 Player
WWE Day of Reckoning,2004-08-30,79,47,8.8,90,T,Yuke's,,1-4 Players
Jotun: Valhalla Edition,2016-09-08,79,9,6.4,7,T,Thunder Lotus Games,,
Stella Glow,2015-11-17,79,32,8.4,118,T,"Image Epoch, Imageepoch",No Online Multiplayer,
Edge,2013-11-21,79,9,7.5,45,E,Two Tribes,,
Pro Evolution Soccer 2012,2011-11-15,79,9,7.4,14,E,Konami,,
Rochard,2011-09-27,79,34,9.7,465,T,Recoil Games,,
Alien: Isolation,2014-10-07,79,50,8.2,1160,M,Creative Assembly,No Online Multiplayer,
Professor Layton VS Phoenix Wright Ace Attorney,2014-08-29,79,69,8.2,146,T,Level 5,No Online Multiplayer,
Mortal Kombat 11: Aftermath,2020-05-26,79,11,6.7,20,M,NetherRealm Studios,,
Knights And Bikes,2019-08-26,79,10,7.3,13,,Foam Sword,,
CastleStorm,2013-05-29,79,31,6.8,36,T,Zen Studios,,
GRID,2008-08-05,79,19,8.1,15,E,Firebrand Games,,1 Player
Call of Juarez: Gunslinger,2013-05-22,79,23,8.2,880,M,Techland,,
Ultimate Marvel vs. Capcom 3,2011-11-15,79,44,6.6,97,T,Capcom,Up to 8 Players,
Shin Megami Tensei: Devil Summoner 2: Raidou Kuzunoha vs. King Abaddon,2009-05-12,79,23,3.3,173,M,Atlus Co.,,
Catherine,2011-07-26,79,61,8.2,473,M,Atlus,,1-2 Players
Crash Bandicoot N. Sane Trilogy,2018-06-29,79,15,7.5,99,E10+,Vicarious Visions,No Online Multiplayer,
Blazing Chrome,2019-07-11,79,15,8.0,23,T,"JoyMasher, Seaven Studio",No Online Multiplayer,
Rome: Total War Alexander,2006-06-19,79,10,7.7,75,T,Creative Assembly,6 Players Online,1 Player
Street Fighter Anniversary Collection,2005-02-22,79,33,6.7,10,T,Capcom,,1-2 Players
Hob,2017-09-26,79,18,6.9,53,T,Runic Games,,
Pinball FX2 VR,2016-11-29,79,22,7.1,19,E10+,Zen Studios,,
Driver: San Francisco,2011-09-06,79,53,7.6,132,T,Ubisoft Reflections,,
