naslov,datum,metascore,stevilo_glasov_metascore,ocena_uporabnikov,stevilo_glasov_uporabnikov,oznaka,developer,stevilo_online_igralcev,stevilo_igralcev
Metal Gear Solid V: The Phantom Pain,2015-09-01,93,86,8.2,5583,M,"Kojima Productions, Moby Dick Studio",,
Skies of Arcadia,2000-11-13,93,21,8.9,125,T,Overworks,,
The Legend of Zelda: Skyward Sword,2011-11-20,93,81,8.1,2401,E10+,Nintendo,No Online Multiplayer,
Mario Kart Super Circuit,2001-08-26,93,24,7.9,190,E,Intelligent Systems,,1-4 Players
Rock Band 3,2010-10-26,93,57,8.0,148,T,Harmonix Music Systems,,
Viewtiful Joe,2003-10-07,93,52,8.3,138,T,Clover Studio,,1 Player
Test Drive Le Mans,2000-11-13,93,18,8.2,21,E,Melbourne House,,
NBA 2K1,2000-11-01,93,19,7.1,19,E,Visual Concepts,,
Castlevania: Symphony of the Night,1997-10-02,93,12,9.2,664,T,Konami,,1 Player
Star Wars: Knights of the Old Republic,2003-11-18,93,33,9.0,2007,T,BioWare,No Online Multiplayer,1 Player
Virtua Fighter 4: Evolution,2003-08-13,93,30,8.6,65,T,Sega,,1-2 Players
Uncharted 4: A Thief's End,2016-05-10,93,113,8.5,12333,T,Naughty Dog,,
Super Smash Bros. Ultimate,2018-12-07,93,99,8.6,2819,E10+,"Nintendo, HAL Labs, Bandai Namco Games, Sora Ltd.",Up to 8 Players,
Braid,2009-11-12,93,20,7.8,234,E10+,"Hothead Games, Number None Inc.",,1 Player
Mass Effect 3,2012-03-05,93,30,5.7,1942,M,BioWare,Up to 4 Players,
Paper Mario,2001-02-05,93,15,9.1,420,E,Intelligent Systems,,
Wipeout XL,1996-09-30,93,8,8.6,40,,Psygnosis,,1-2 Players
Grand Theft Auto: San Andreas,2005-06-07,93,58,8.7,165,AO,Rockstar North,,1-2 Players
Resident Evil 2,2019-01-25,93,27,8.6,896,M,Capcom R&D Division 1,No Online Multiplayer,
INSIDE,2016-06-29,93,87,8.3,662,M,PLAYDEAD,,
World of Warcraft,2004-11-23,93,57,7.4,2934,T,Blizzard Entertainment,,
Grand Theft Auto: San Andreas,2005-06-07,93,47,8.9,3074,M,Rockstar North,No Online Multiplayer,1 Player
Flipnote Studio,2009-08-12,93,7,7.5,62,,Nintendo,,
