naslov,zanr 
XCOM: Enemy Within,Tactics
NCAA Football 2005,Sports
NCAA Football 2005,Traditional
NCAA Football 2005,Football
NCAA Football 2005,Sim
ESPN NHL Hockey,Sports
ESPN NHL Hockey,Traditional
ESPN NHL Hockey,Ice Hockey
ESPN NHL Hockey,Sim
NCAA Football 2004,Sports
NCAA Football 2004,Traditional
NCAA Football 2004,Football
NCAA Football 2004,Sim
FIFA Soccer 2003,Sports
FIFA Soccer 2003,Traditional
FIFA Soccer 2003,Soccer
FIFA Soccer 2003,Sim
Ratchet & Clank,Action
Ratchet & Clank,Platformer
Ratchet & Clank,3D
Tiger Woods PGA Tour 2003,Sports
Tiger Woods PGA Tour 2003,Traditional
Tiger Woods PGA Tour 2003,Golf
Tiger Woods PGA Tour 2003,Sim
TimeSplitters 2,Action
TimeSplitters 2,Shooter
TimeSplitters 2,First-Person
TimeSplitters 2,Sci-Fi
JSRF: Jet Set Radio Future,Action
JSRF: Jet Set Radio Future,Platformer
JSRF: Jet Set Radio Future,3D
Red Faction,Action
Red Faction,Shooter
Red Faction,First-Person
Red Faction,Sci-Fi
Myth II: Soulblighter,Strategy
Myth II: Soulblighter,Real-Time
Myth II: Soulblighter,Fantasy
Myth II: Soulblighter,General
Ninja Gaiden Sigma,Action Adventure
Ninja Gaiden Sigma,Fantasy
Ninja Gaiden Sigma,General
Ninja Gaiden Sigma,Fantasy
Fire Emblem Fates: Special Edition,Strategy
Fire Emblem Fates: Special Edition,Turn-Based
Fire Emblem Fates: Special Edition,Tactics
Pinball FX 2,Action
Pinball FX 2,Miscellaneous
Pinball FX 2,Parlor
Pinball FX 2,Pinball
Pinball FX 2,Pinball
Final Fantasy Tactics: The War of the Lions,Strategy
Final Fantasy Tactics: The War of the Lions,Turn-Based
Final Fantasy Tactics: The War of the Lions,Fantasy
Final Fantasy Tactics: The War of the Lions,Fantasy
Final Fantasy Tactics: The War of the Lions,Tactics
NHL 11,Sports
NHL 11,Traditional
NHL 11,Team
NHL 11,Ice Hockey
NHL 11,Sim
NHL 11,Sim
Wario Land 4,Action
Wario Land 4,Platformer
Wario Land 4,2D
The Elder Scrolls III: Morrowind Game of the Year Edition,Role-Playing
The Elder Scrolls III: Morrowind Game of the Year Edition,First-Person
WarioWare: Twisted!,Miscellaneous
WarioWare: Twisted!,Puzzle
WarioWare: Twisted!,General
Halo: The Master Chief Collection - Halo 3,Action
Halo: The Master Chief Collection - Halo 3,First-Person
Halo: The Master Chief Collection - Halo 3,Shooter
Halo: The Master Chief Collection - Halo 3,Arcade
Pokemon Y,Role-Playing
Pokemon Y,Console-style RPG
Pokemon Y,Console-style RPG
Pokemon Y,Trainer
Call of Duty: Black Ops,Action
Call of Duty: Black Ops,Shooter
Call of Duty: Black Ops,Shooter
Call of Duty: Black Ops,First-Person
Call of Duty: Black Ops,Historic
Call of Duty: Black Ops,Historic
Call of Duty: Black Ops,Arcade
Return to Castle Wolfenstein,Action
Return to Castle Wolfenstein,Shooter
Return to Castle Wolfenstein,Shooter
Return to Castle Wolfenstein,First-Person
Return to Castle Wolfenstein,Historic
Return to Castle Wolfenstein,Historic
Return to Castle Wolfenstein,Arcade
Ori and the Blind Forest,Action
Ori and the Blind Forest,Platformer
Ori and the Blind Forest,2D
Ori and the Blind Forest: Definitive Edition,Action
Ori and the Blind Forest: Definitive Edition,Platformer
Ori and the Blind Forest: Definitive Edition,2D
NCAA Football 07,Sports
NCAA Football 07,Traditional
NCAA Football 07,Football
NCAA Football 07,Sim
NBA Street,Sports
NBA Street,Traditional
NBA Street,Basketball
NBA Street,Arcade
Madden NFL 2002,Sports
Madden NFL 2002,Traditional
Madden NFL 2002,Football
Madden NFL 2002,Sim
Shogo: Mobile Armor Division,Action
Shogo: Mobile Armor Division,Shooter
Shogo: Mobile Armor Division,Shooter
Shogo: Mobile Armor Division,First-Person
Shogo: Mobile Armor Division,Sci-Fi
Shogo: Mobile Armor Division,Sci-Fi
Shogo: Mobile Armor Division,Arcade
Thirty Flights of Loving,Adventure
Thirty Flights of Loving,General
Thirty Flights of Loving,3D
Thirty Flights of Loving,First-Person
The Witcher 2: Assassins of Kings,Action RPG
The Witcher 2: Assassins of Kings,Role-Playing
The Witcher 2: Assassins of Kings,Action RPG
Hearthstone: Heroes of Warcraft,Card Battle
Hearthstone: Heroes of Warcraft,Strategy
Hearthstone: Heroes of Warcraft,Miscellaneous
Hearthstone: Heroes of Warcraft,Turn-Based
Hearthstone: Heroes of Warcraft,Card Battle
Unity of Command II,Strategy
Unity of Command II,Turn-Based
Unity of Command II,4X
Grand Theft Auto: Liberty City Stories,Action Adventure
Grand Theft Auto: Liberty City Stories,Modern
Grand Theft Auto: Liberty City Stories,Modern
Grand Theft Auto: Liberty City Stories,Open-World
The Walking Dead: Episode 3 - Long Road Ahead,Miscellaneous
The Walking Dead: Episode 3 - Long Road Ahead,Adventure
The Walking Dead: Episode 3 - Long Road Ahead,General
The Walking Dead: Episode 3 - Long Road Ahead,Compilation
The Walking Dead: Episode 3 - Long Road Ahead,Point-and-Click
Medieval II: Total War,Strategy
Medieval II: Total War,Real-Time
Medieval II: Total War,Historic
Medieval II: Total War,General
Super Mario Maker 2,Action
Super Mario Maker 2,Platformer
Super Mario Maker 2,2D
Apex Legends,Action
Apex Legends,Shooter
Apex Legends,First-Person
Apex Legends,Tactical
Sly 2: Band of Thieves,Action
Sly 2: Band of Thieves,Platformer
Sly 2: Band of Thieves,3D
Devil May Cry 5,Action Adventure
Devil May Cry 5,General
Doom 3,Action
Doom 3,Shooter
Doom 3,First-Person
Doom 3,Sci-Fi
NCAA Football 2005,Sports
NCAA Football 2005,Traditional
NCAA Football 2005,Football
NCAA Football 2005,Sim
FIFA Soccer 2003,Sports
FIFA Soccer 2003,Traditional
FIFA Soccer 2003,Soccer
FIFA Soccer 2003,Sim
Aggressive Inline,Sports
Aggressive Inline,Alternative
Aggressive Inline,Skating
F1 2002,Driving
F1 2002,Racing
F1 2002,Simulation
F1 2002,Formula One
F1 2002,Formula One
F1 2002,Automobile
Tekken: Dark Resurrection,Action
Tekken: Dark Resurrection,Fighting
Tekken: Dark Resurrection,Fighting
Tekken: Dark Resurrection,3D
Tekken: Dark Resurrection,3D
The Stanley Parable,Action
The Stanley Parable,Adventure
The Stanley Parable,General
The Stanley Parable,General
The Stanley Parable,3D
The Stanley Parable,First-Person
The Stanley Parable,Modern
Slay the Spire,Strategy
Slay the Spire,Turn-Based
Slay the Spire,Card Battle
Guacamelee! Gold Edition,Action
Guacamelee! Gold Edition,Platformer
Guacamelee! Gold Edition,Platformer
Guacamelee! Gold Edition,2D
Guacamelee! Gold Edition,2D
BioShock 2,Action
BioShock 2,Shooter
BioShock 2,Shooter
BioShock 2,First-Person
BioShock 2,Sci-Fi
BioShock 2,Sci-Fi
BioShock 2,Arcade
ESPN NHL 2K5,Sports
ESPN NHL 2K5,Traditional
ESPN NHL 2K5,Ice Hockey
ESPN NHL 2K5,Sim
BioShock 2,Action
BioShock 2,Shooter
BioShock 2,Shooter
BioShock 2,First-Person
BioShock 2,Sci-Fi
BioShock 2,Sci-Fi
BioShock 2,Arcade
Counter-Strike: Source,Action
Counter-Strike: Source,Shooter
Counter-Strike: Source,Shooter
Counter-Strike: Source,First-Person
Counter-Strike: Source,Tactical
Counter-Strike: Source,Modern
Counter-Strike: Source,Modern
Fire Emblem,Strategy
Fire Emblem,Turn-Based
Fire Emblem,Fantasy
Fire Emblem Fates: Revelation,Strategy
Fire Emblem Fates: Revelation,Turn-Based
Fire Emblem Fates: Revelation,Tactics
Sid Meier's Civilization VI,Strategy
Sid Meier's Civilization VI,Turn-Based
Sid Meier's Civilization VI,4X
Battlefield 1,General
Battlefield 1,Action
Battlefield 1,Shooter
Battlefield 1,First-Person
Battlefield 1,Tactical
Starcraft II: Legacy of the Void,Sci-Fi
Starcraft II: Legacy of the Void,Sci-Fi
Starcraft II: Legacy of the Void,Strategy
Starcraft II: Legacy of the Void,Real-Time
Starcraft II: Legacy of the Void,General
Starcraft II: Legacy of the Void,Command
Diablo III,Role-Playing
Diablo III,Action RPG
Diablo III,Action RPG
F1 2020,Racing
F1 2020,Simulation
F1 2020,Automobile
Downwell,Action
Downwell,General
Owlboy,Action Adventure
Owlboy,General
Monster Hunter: World,Role-Playing
Monster Hunter: World,Action RPG
Fight Night Round 4,Sports
Fight Night Round 4,Traditional
Fight Night Round 4,Individual
Fight Night Round 4,Boxing
Fight Night Round 4,Boxing
Fight Night Round 4,Combat
Fight Night Round 4,Boxing / Martial Arts
Diablo III: Eternal Collection,Role-Playing
Diablo III: Eternal Collection,Action RPG
Oddworld: Stranger's Wrath,Action Adventure
Oddworld: Stranger's Wrath,Sci-Fi
Rise of Nations: Thrones & Patriots,Strategy
Rise of Nations: Thrones & Patriots,Real-Time
Rise of Nations: Thrones & Patriots,Historic
Rise of Nations: Thrones & Patriots,General
Rise of Nations: Thrones & Patriots,Historic
Sid Meier's Pirates!,Strategy
Sid Meier's Pirates!,General
Sid Meier's Pirates!,General
A Short Hike,Adventure
A Short Hike,General
Battlefield: Bad Company 2 Vietnam,Action
Battlefield: Bad Company 2 Vietnam,Shooter
Battlefield: Bad Company 2 Vietnam,Shooter
Battlefield: Bad Company 2 Vietnam,First-Person
Battlefield: Bad Company 2 Vietnam,Modern
Battlefield: Bad Company 2 Vietnam,Modern
Battlefield: Bad Company 2 Vietnam,Arcade
EVE Online: Special Edition,Role-Playing
EVE Online: Special Edition,Miscellaneous
EVE Online: Special Edition,Massively Multiplayer Online
EVE Online: Special Edition,Compilation
EVE Online: Special Edition,Sci-Fi
SteamWorld Dig 2,Action
SteamWorld Dig 2,Action Adventure
SteamWorld Dig 2,General
SteamWorld Dig 2,Platformer
SteamWorld Dig 2,2D
Call of Duty: Modern Warfare 3,Action
Call of Duty: Modern Warfare 3,Shooter
Call of Duty: Modern Warfare 3,Shooter
Call of Duty: Modern Warfare 3,First-Person
Call of Duty: Modern Warfare 3,Modern
Call of Duty: Modern Warfare 3,Modern
Call of Duty: Modern Warfare 3,Arcade
FIFA Soccer 11,Sports
FIFA Soccer 11,Traditional
FIFA Soccer 11,Team
FIFA Soccer 11,Soccer
FIFA Soccer 11,Sim
FIFA Soccer 11,Sim
Apex Legends,Action
Apex Legends,Shooter
Apex Legends,First-Person
Apex Legends,Tactical
LittleBigPlanet PS Vita,Action
LittleBigPlanet PS Vita,Platformer
LittleBigPlanet PS Vita,Platformer
LittleBigPlanet PS Vita,3D
LittleBigPlanet PS Vita,3D
Armadillo Run,Miscellaneous
Armadillo Run,Puzzle
Armadillo Run,Puzzle
Armadillo Run,General
Armadillo Run,General
FIFA Soccer 13,Sports
FIFA Soccer 13,Traditional
FIFA Soccer 13,Team
FIFA Soccer 13,Soccer
FIFA Soccer 13,Sim
FIFA Soccer 13,Sim
Ikaruga,Action
Ikaruga,Shooter
Ikaruga,Shoot-'Em-Up
Ikaruga,Vertical
World of Warcraft: Legion,Role-Playing
World of Warcraft: Legion,Massively Multiplayer
Pillars of Eternity II: Deadfire,Role-Playing
Pillars of Eternity II: Deadfire,Western-Style
DOOM Eternal,Action
DOOM Eternal,Shooter
DOOM Eternal,First-Person
DOOM Eternal,Arcade
Art of Balance,Miscellaneous
Art of Balance,Puzzle
Art of Balance,Puzzle
Art of Balance,General
Art of Balance,Puzzle
Art of Balance,General
MVP Baseball 2005,Sports
MVP Baseball 2005,Traditional
MVP Baseball 2005,Baseball
MVP Baseball 2005,Sim
Keep Talking and Nobody Explodes,Adventure
Keep Talking and Nobody Explodes,3D
Keep Talking and Nobody Explodes,First-Person
Joe Danger: Special Edition,Driving
Joe Danger: Special Edition,Racing
Joe Danger: Special Edition,Arcade
Joe Danger: Special Edition,Arcade
Joe Danger: Special Edition,Automobile
Cave Story +,Action
Cave Story +,Platformer
Cave Story +,2D
Crimson Skies: High Road to Revenge,Simulation
Crimson Skies: High Road to Revenge,Flight
Crimson Skies: High Road to Revenge,WWII
NASCAR Thunder 2004,Driving
NASCAR Thunder 2004,Racing
NASCAR Thunder 2004,Stock Car
Burnout 2: Point of Impact,Driving
Burnout 2: Point of Impact,Racing
Burnout 2: Point of Impact,Arcade
TimeSplitters 2,Action
TimeSplitters 2,Shooter
TimeSplitters 2,First-Person
TimeSplitters 2,Sci-Fi
Dark Age of Camelot,Role-Playing
Dark Age of Camelot,Massively Multiplayer Online
Dark Age of Camelot,Massively Multiplayer
Dark Age of Camelot,Fantasy
Dark Age of Camelot,Fantasy
Baldur's Gate II: Throne of Bhaal,Role-Playing
Baldur's Gate II: Throne of Bhaal,PC-style RPG
Baldur's Gate II: Throne of Bhaal,PC-style RPG
Baldur's Gate II: Throne of Bhaal,Western-Style
Counter-Strike,Action
Counter-Strike,Shooter
Counter-Strike,Shooter
Counter-Strike,First-Person
Counter-Strike,Modern
Counter-Strike,Tactical
Counter-Strike,Modern
Owlboy,Fantasy
Owlboy,Action Adventure
Owlboy,General
The Talos Principle: Deluxe Edition,Adventure
The Talos Principle: Deluxe Edition,3D
The Talos Principle: Deluxe Edition,First-Person
The Talos Principle: Deluxe Edition,Sci-Fi
Battlefield: Bad Company 2 Vietnam,Action
Battlefield: Bad Company 2 Vietnam,Shooter
Battlefield: Bad Company 2 Vietnam,Shooter
Battlefield: Bad Company 2 Vietnam,First-Person
Battlefield: Bad Company 2 Vietnam,Modern
Battlefield: Bad Company 2 Vietnam,Modern
Battlefield: Bad Company 2 Vietnam,Arcade
Celeste,Action
Celeste,Platformer
Celeste,2D
Tony Hawk's Pro Skater 4,Sports
Tony Hawk's Pro Skater 4,Alternative
Tony Hawk's Pro Skater 4,Individual
Tony Hawk's Pro Skater 4,Skateboarding
Tony Hawk's Pro Skater 4,Skateboarding
Tony Hawk's Pro Skater 4,Skate / Skateboard
Night in the Woods,Fantasy
Night in the Woods,Action Adventure
Night in the Woods,Adventure
Night in the Woods,General
Ori and the Blind Forest,Action
Ori and the Blind Forest,Platformer
Ori and the Blind Forest,2D
Need for Speed: Hot Pursuit,Driving
Need for Speed: Hot Pursuit,Racing
Need for Speed: Hot Pursuit,Arcade
Need for Speed: Hot Pursuit,Arcade
Need for Speed: Hot Pursuit,Automobile
Pistol Whip,Action
Pistol Whip,Shooter
Pistol Whip,Light Gun
Ridge Racer,Driving
Ridge Racer,Racing
Ridge Racer,Arcade
Ridge Racer,Arcade
Ridge Racer,Automobile
Forza Horizon 4,Racing
Forza Horizon 4,Simulation
Forza Horizon 4,Automobile
Fight Night Round 2,Sports
Fight Night Round 2,Traditional
Fight Night Round 2,Boxing
Nex Machina: Death Machine,Action
Nex Machina: Death Machine,Shooter
Nex Machina: Death Machine,Shoot-'Em-Up
Nex Machina: Death Machine,Top-Down
Nioh,Role-Playing
Nioh,Action RPG
Animal Crossing: New Leaf,Simulation
Animal Crossing: New Leaf,Miscellaneous
Animal Crossing: New Leaf,Virtual Life
Animal Crossing: New Leaf,Virtual
Animal Crossing: New Leaf,Virtual Life
Diablo II,Role-Playing
Diablo II,Action RPG
Diablo II,Action RPG
Kentucky Route Zero: TV Edition,Adventure
Kentucky Route Zero: TV Edition,General
Hellblade: Senua's Sacrifice,Action Adventure
Hellblade: Senua's Sacrifice,General
The Walking Dead: Episode 5 - No Time Left,Miscellaneous
The Walking Dead: Episode 5 - No Time Left,Adventure
The Walking Dead: Episode 5 - No Time Left,General
The Walking Dead: Episode 5 - No Time Left,Compilation
The Walking Dead: Episode 5 - No Time Left,Point-and-Click
NBA 2K13,Sports
NBA 2K13,Traditional
NBA 2K13,Team
NBA 2K13,Basketball
NBA 2K13,Sim
NBA 2K13,Sim
The Witcher 2: Assassins of Kings,Role-Playing
The Witcher 2: Assassins of Kings,Action RPG
The Witcher 2: Assassins of Kings,Action RPG
Tiger Woods PGA Tour 2005,Sports
Tiger Woods PGA Tour 2005,Traditional
Tiger Woods PGA Tour 2005,Golf
Tiger Woods PGA Tour 2005,Sim
SSX Tricky,Sports
SSX Tricky,Alternative
SSX Tricky,Snowboarding
Oddworld: Abe's Exoddus,Action
Oddworld: Abe's Exoddus,Platformer
Oddworld: Abe's Exoddus,2D
Plants vs. Zombies,Strategy
Plants vs. Zombies,Real-Time
Plants vs. Zombies,Fantasy
Plants vs. Zombies,General
Plants vs. Zombies,Fantasy
Plants vs. Zombies,Defense
Rocksmith 2014 Edition,Action
Rocksmith 2014 Edition,Miscellaneous
Rocksmith 2014 Edition,Rhythm
Rocksmith 2014 Edition,Music
Rocksmith 2014 Edition,Music
Burnout Paradise,Driving
Burnout Paradise,Racing
Burnout Paradise,Arcade
Burnout Paradise,Arcade
Burnout Paradise,Automobile
Guacamelee! Super Turbo Championship Edition,Action
Guacamelee! Super Turbo Championship Edition,Platformer
Guacamelee! Super Turbo Championship Edition,2D
DOOM 3,Action
DOOM 3,Shooter
DOOM 3,Shooter
DOOM 3,First-Person
DOOM 3,Sci-Fi
DOOM 3,Sci-Fi
DOOM 3,Arcade
Subnautica,Adventure
Subnautica,General
Frostpunk: Console Edition,Action Adventure
Frostpunk: Console Edition,Survival
GRID,Driving
GRID,Racing
GRID,Simulation
GRID,GT / Street
GRID,GT / Street
GRID,Automobile
Stardew Valley,Role-Playing
Stardew Valley,General
Devil May Cry 5,Action Adventure
Devil May Cry 5,General
Super Meat Boy,Action
Super Meat Boy,Platformer
Super Meat Boy,Platformer
Super Meat Boy,2D
Super Meat Boy,2D
Middle-earth: Shadow of Mordor,Fantasy
Middle-earth: Shadow of Mordor,Action Adventure
Middle-earth: Shadow of Mordor,Fantasy
Middle-earth: Shadow of Mordor,Open-World
Halo 4,Shooter
Halo 4,Sci-Fi
Halo 4,Sci-Fi
Halo 4,Action
Halo 4,Shooter
Halo 4,First-Person
Halo 4,Arcade
Football Manager 2010,Sports
Football Manager 2010,Traditional
Football Manager 2010,Team
Football Manager 2010,Soccer
Football Manager 2010,Management
Football Manager 2010,Management
Final Fantasy XIV: Stormblood,Role-Playing
Final Fantasy XIV: Stormblood,Massively Multiplayer
Bloodborne: The Old Hunters,Role-Playing
Bloodborne: The Old Hunters,Action RPG
XCOM 2,Strategy
XCOM 2,Turn-Based
XCOM 2,General
XCOM 2,Tactics
Super Street Fighter II Turbo HD Remix,Action
Super Street Fighter II Turbo HD Remix,Fighting
Super Street Fighter II Turbo HD Remix,Fighting
Super Street Fighter II Turbo HD Remix,2D
Super Street Fighter II Turbo HD Remix,2D
Injustice 2,Action
Injustice 2,Fighting
Injustice 2,2D
SOCOM II: U.S. Navy SEALs,Action
SOCOM II: U.S. Navy SEALs,Shooter
SOCOM II: U.S. Navy SEALs,Third-Person
SOCOM II: U.S. Navy SEALs,Tactical
SOCOM II: U.S. Navy SEALs,Modern
The Witness,Miscellaneous
The Witness,General
The Witness,General
The Witness,Puzzle
The Witness,Puzzle
The Witness,Adventure
The Witness,3D
The Witness,First-Person
Monster Hunter: World - Iceborne,Role-Playing
Monster Hunter: World - Iceborne,Action RPG
BlazBlue: Calamity Trigger,Action
BlazBlue: Calamity Trigger,Fighting
BlazBlue: Calamity Trigger,Fighting
BlazBlue: Calamity Trigger,2D
BlazBlue: Calamity Trigger,2D
Rallisport Challenge 2,Driving
Rallisport Challenge 2,Racing
Rallisport Challenge 2,Rally / Offroad
Oddworld: Abe's Oddysee - New 'n' Tasty,Action
Oddworld: Abe's Oddysee - New 'n' Tasty,Platformer
Oddworld: Abe's Oddysee - New 'n' Tasty,Platformer
Oddworld: Abe's Oddysee - New 'n' Tasty,2D
Oddworld: Abe's Oddysee - New 'n' Tasty,2D
Dead Cells,Action
Dead Cells,Platformer
Dead Cells,2D
Battlefield 1,Action
Battlefield 1,General
Battlefield 1,Shooter
Battlefield 1,First-Person
Battlefield 1,Tactical
Sid Meier's Civilization VI,Strategy
Sid Meier's Civilization VI,Turn-Based
Sid Meier's Civilization VI,4X
Midnight Club 3: DUB Edition Remix,Driving
Midnight Club 3: DUB Edition Remix,Racing
Midnight Club 3: DUB Edition Remix,GT / Street
Final Fantasy VII Remake,Japanese-Style
Final Fantasy VII Remake,Role-Playing
Final Fantasy VII Remake,Action RPG
Dark Souls III,Role-Playing
Dark Souls III,Action RPG
Monkey Island 2 Special Edition: LeChuck's Revenge,Adventure
Monkey Island 2 Special Edition: LeChuck's Revenge,General
Monkey Island 2 Special Edition: LeChuck's Revenge,General
Monkey Island 2 Special Edition: LeChuck's Revenge,Point-and-Click
Red Dead Redemption: Undead Nightmare Pack,Action Adventure
Red Dead Redemption: Undead Nightmare Pack,Historic
Red Dead Redemption: Undead Nightmare Pack,General
Red Dead Redemption: Undead Nightmare Pack,Historic
Red Dead Redemption: Undead Nightmare Pack,Open-World
Pokemon White Version,Role-Playing
Pokemon White Version,Console-style RPG
Pokemon White Version,Console-style RPG
Pokemon White Version,Trainer
Dragon Quest IX: Sentinels of the Starry Skies,Role-Playing
Dragon Quest IX: Sentinels of the Starry Skies,Console-style RPG
Dragon Quest IX: Sentinels of the Starry Skies,Console-style RPG
Dragon Quest IX: Sentinels of the Starry Skies,Japanese-Style
Pokemon X,Role-Playing
Pokemon X,Console-style RPG
Pokemon X,Console-style RPG
Pokemon X,Trainer
RimWorld,Sci-Fi
RimWorld,Strategy
RimWorld,Real-Time
RimWorld,General
Tom Clancy's Splinter Cell: Pandora Tomorrow,Action Adventure
Tom Clancy's Splinter Cell: Pandora Tomorrow,Modern
Tom Clancy's Splinter Cell: Pandora Tomorrow,General
Tom Clancy's Splinter Cell: Pandora Tomorrow,Modern
Baldur's Gate: Dark Alliance,Role-Playing
Baldur's Gate: Dark Alliance,Action RPG
Europa Universalis II,Strategy
Europa Universalis II,Real-Time
Europa Universalis II,Historic
Europa Universalis II,General
Europa Universalis II,Historic
Tony Hawk's Pro Skater 3,Sports
Tony Hawk's Pro Skater 3,Alternative
Tony Hawk's Pro Skater 3,Skateboarding
Metropolis Street Racer,Driving
Metropolis Street Racer,Racing
Metropolis Street Racer,GT / Street
Power Stone 2,Action
Power Stone 2,Fighting
Power Stone 2,3D
Cuphead,Action
Cuphead,Platformer
Cuphead,2D
Burnout Paradise: The Ultimate Box,Driving
Burnout Paradise: The Ultimate Box,Racing
Burnout Paradise: The Ultimate Box,Arcade
Burnout Paradise: The Ultimate Box,Arcade
Burnout Paradise: The Ultimate Box,Automobile
FIFA Soccer 09,Sports
FIFA Soccer 09,Traditional
FIFA Soccer 09,Team
FIFA Soccer 09,Soccer
FIFA Soccer 09,Sim
FIFA Soccer 09,Sim
Jeanne d'Arc,Strategy
Jeanne d'Arc,Turn-Based
Jeanne d'Arc,Historic
Jeanne d'Arc,Historic
Jeanne d'Arc,Tactics
Street Fighter V: Arcade Edition,Action
Street Fighter V: Arcade Edition,Fighting
Street Fighter V: Arcade Edition,2D
Battlefield: Bad Company 2,Action
Battlefield: Bad Company 2,Shooter
Battlefield: Bad Company 2,Shooter
Battlefield: Bad Company 2,First-Person
Battlefield: Bad Company 2,Modern
Battlefield: Bad Company 2,Modern
Battlefield: Bad Company 2,Arcade
Guacamelee!,Action
Guacamelee!,Platformer
Guacamelee!,Platformer
Guacamelee!,2D
Guacamelee!,2D
FIFA Soccer 09,Sports
FIFA Soccer 09,Traditional
FIFA Soccer 09,Team
FIFA Soccer 09,Soccer
FIFA Soccer 09,Sim
FIFA Soccer 09,Sim
Astral Chain,Action Adventure
Astral Chain,General
Steins;Gate,First-Person
Steins;Gate,Modern
Steins;Gate,Adventure
Steins;Gate,General
Steins;Gate,Visual Novel
NCAA Football 06,Sports
NCAA Football 06,Traditional
NCAA Football 06,Football
NCAA Football 06,Sim
GRID (2008),Driving
GRID (2008),Racing
GRID (2008),Simulation
GRID (2008),GT / Street
GRID (2008),GT / Street
GRID (2008),Automobile
Night in the Woods,Fantasy
Night in the Woods,Action Adventure
Night in the Woods,Adventure
Night in the Woods,General
DiRT 3,Driving
DiRT 3,Racing
DiRT 3,Simulation
DiRT 3,Rally / Offroad
DiRT 3,Rally / Offroad
DiRT 3,Automobile
Critter Crunch,Miscellaneous
Critter Crunch,Puzzle
Critter Crunch,Puzzle
Critter Crunch,General
Critter Crunch,Puzzle
Critter Crunch,General
Crypt of the NecroDancer,Action
Crypt of the NecroDancer,Role-Playing
Crypt of the NecroDancer,General
Crypt of the NecroDancer,Action RPG
La-Mulana,Action
La-Mulana,Action Adventure
La-Mulana,Platformer
La-Mulana,Platformer
La-Mulana,Open-World
La-Mulana,2D
La-Mulana,2D
Max Payne 3,Action
Max Payne 3,Shooter
Max Payne 3,Shooter
Max Payne 3,Third-Person
Max Payne 3,Modern
Max Payne 3,Modern
Max Payne 3,Arcade
Pokemon Sun,Role-Playing
Pokemon Sun,Trainer
Sins of a Solar Empire,Strategy
Sins of a Solar Empire,Real-Time
Sins of a Solar Empire,Sci-Fi
Sins of a Solar Empire,Sci-Fi
Sins of a Solar Empire,General
Dragon Ball FighterZ,Action
Dragon Ball FighterZ,Fighting
Dragon Ball FighterZ,2D
The Walking Dead: Season Two Episode 5 - No Going Back,Action
The Walking Dead: Season Two Episode 5 - No Going Back,Adventure
The Walking Dead: Season Two Episode 5 - No Going Back,General
The Walking Dead: Season Two Episode 5 - No Going Back,General
The Walking Dead: Season Two Episode 5 - No Going Back,Point-and-Click
Ikaruga,Action
Ikaruga,Shooter
Ikaruga,Shooter
Ikaruga,Scrolling
Ikaruga,Scrolling
Ikaruga,Shoot-'Em-Up
Ikaruga,Vertical
Heavy Rain,Adventure
Heavy Rain,3D
Heavy Rain,Modern
Heavy Rain,Third-Person
Heavy Rain,Modern
Super Monkey Ball 2,Miscellaneous
Super Monkey Ball 2,Party
MechWarrior 4: Vengeance,Simulation
MechWarrior 4: Vengeance,Sci-Fi
MechWarrior 4: Vengeance,Vehicle
MechWarrior 4: Vengeance,Mech
MechWarrior 4: Vengeance,Combat
Thief II: The Metal Age,Action Adventure
Thief II: The Metal Age,Fantasy
Thief II: The Metal Age,General
Thief II: The Metal Age,Fantasy
Tactics Ogre: Let Us Cling Together,Strategy
Tactics Ogre: Let Us Cling Together,Turn-Based
Tactics Ogre: Let Us Cling Together,Fantasy
Tactics Ogre: Let Us Cling Together,Fantasy
Tactics Ogre: Let Us Cling Together,Tactics
Tom Clancy's Splinter Cell Chaos Theory,Action Adventure
Tom Clancy's Splinter Cell Chaos Theory,Modern
Diablo II: Lord of Destruction,Role-Playing
Diablo II: Lord of Destruction,Action RPG
Diablo II: Lord of Destruction,Action RPG
Monkey Island 2 Special Edition: LeChuck's Revenge,Adventure
Monkey Island 2 Special Edition: LeChuck's Revenge,General
Monkey Island 2 Special Edition: LeChuck's Revenge,General
Monkey Island 2 Special Edition: LeChuck's Revenge,Point-and-Click
Half-Life 2: Episode One,Action
Half-Life 2: Episode One,Shooter
Half-Life 2: Episode One,Shooter
Half-Life 2: Episode One,First-Person
Half-Life 2: Episode One,Sci-Fi
Half-Life 2: Episode One,Sci-Fi
Half-Life 2: Episode One,Arcade
Devil May Cry 3: Special Edition,Action Adventure
Devil May Cry 3: Special Edition,Fantasy
Guacamelee! 2,Action
Guacamelee! 2,Platformer
Guacamelee! 2,2D
Mass Effect 2: Lair of the Shadow Broker,Role-Playing
Mass Effect 2: Lair of the Shadow Broker,Action RPG
Mass Effect 2: Lair of the Shadow Broker,Action RPG
DiRT 3,Driving
DiRT 3,Racing
DiRT 3,Simulation
DiRT 3,Rally / Offroad
DiRT 3,Rally / Offroad
DiRT 3,Automobile
Enter the Gungeon,Action
Enter the Gungeon,General
Enter the Gungeon,Shooter
Enter the Gungeon,Shoot-'Em-Up
Enter the Gungeon,Top-Down
Syphon Filter: Dark Mirror,Action
Syphon Filter: Dark Mirror,Shooter
Syphon Filter: Dark Mirror,Shooter
Syphon Filter: Dark Mirror,Third-Person
